v3, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
1.300000000000000e+000, 1.300000e+000, 1.500000e+000, 1.984877e+000
1.400000000000000e+000, 1.400000e+000, 1.500000e+000, 2.051766e+000
1.500000000000000e+000, 1.500000e+000, 1.500000e+000, 2.121262e+000
1.600000000000000e+000, 1.600000e+000, 1.500000e+000, 2.193115e+000
1.700000000000000e+000, 1.700000e+000, 1.500000e+000, 2.267103e+000
1.800000000000001e+000, 1.800000e+000, 1.500000e+000, 2.343022e+000
1.900000000000001e+000, 1.900000e+000, 1.500000e+000, 2.420691e+000
2.000000000000000e+000, 2.000000e+000, 1.500000e+000, 2.499948e+000
2.100000000000001e+000, 2.100000e+000, 1.500000e+000, 2.580646e+000
2.200000000000001e+000, 2.200000e+000, 1.500000e+000, 2.662654e+000
2.300000000000001e+000, 2.300000e+000, 1.500000e+000, 2.745854e+000
2.400000000000001e+000, 2.400000e+000, 1.500000e+000, 2.830142e+000
2.500000000000001e+000, 2.500000e+000, 1.500000e+000, 2.915423e+000
2.600000000000001e+000, 2.600000e+000, 1.500000e+000, 3.001613e+000
2.700000000000001e+000, 2.700000e+000, 1.500000e+000, 3.088635e+000
2.800000000000001e+000, 2.800000e+000, 1.500000e+000, 3.176422e+000
2.900000000000001e+000, 2.900000e+000, 1.500000e+000, 3.264910e+000
3.000000000000001e+000, 3.000000e+000, 1.500000e+000, 3.354046e+000
3.100000000000001e+000, 3.100000e+000, 1.500000e+000, 3.443779e+000
3.200000000000002e+000, 3.200000e+000, 1.500000e+000, 3.534062e+000
3.300000000000002e+000, 3.300000e+000, 1.500000e+000, 3.624856e+000
3.400000000000002e+000, 3.400000e+000, 1.500000e+000, 3.716122e+000
3.500000000000002e+000, 3.500000e+000, 1.500000e+000, 3.807827e+000
3.600000000000002e+000, 3.600000e+000, 1.500000e+000, 3.899940e+000
3.700000000000002e+000, 3.700000e+000, 1.500000e+000, 3.992432e+000
3.800000000000002e+000, 3.800000e+000, 1.500000e+000, 4.085278e+000
3.900000000000002e+000, 3.900000e+000, 1.500000e+000, 4.178453e+000
4.000000000000002e+000, 4.000000e+000, 1.500000e+000, 4.271938e+000
4.100000000000001e+000, 4.100000e+000, 1.500000e+000, 4.365712e+000
4.200000000000001e+000, 4.200000e+000, 1.500000e+000, 4.459755e+000
4.300000000000001e+000, 4.300000e+000, 1.500000e+000, 4.554053e+000
4.400000000000000e+000, 4.400000e+000, 1.500000e+000, 4.648589e+000
4.500000000000000e+000, 4.500000e+000, 1.500000e+000, 4.743349e+000
4.600000000000000e+000, 4.600000e+000, 1.500000e+000, 4.838319e+000
4.699999999999999e+000, 4.700000e+000, 1.500000e+000, 4.933489e+000
4.799999999999999e+000, 4.800000e+000, 1.500000e+000, 5.028846e+000
4.899999999999999e+000, 4.900000e+000, 1.500000e+000, 5.124380e+000
5.000000000000000e+000, 5.000000e+000, 1.500000e+000, 5.220081e+000
Step Information: V1=2  (Run: 5/11)
0.000000000000000e+000, 0.000000e+000, 2.000000e+000, 1.999964e+000
1.000000000000000e-001, 1.000000e-001, 2.000000e+000, 2.002461e+000
2.000000000000000e-001, 2.000000e-001, 2.000000e+000, 2.009929e+000
3.000000000000000e-001, 3.000000e-001, 2.000000e+000, 2.022300e+000
4.000000000000000e-001, 4.000000e-001, 2.000000e+000, 2.039567e+000
5.000000000000000e-001, 5.000000e-001, 2.000000e+000, 2.061227e+000
6.000000000000000e-001, 6.000000e-001, 2.000000e+000, 2.087816e+000
7.000000000000000e-001, 7.000000e-001, 2.000000e+000, 2.118809e+000
7.999999999999999e-001, 8.000000e-001, 2.000000e+000, 2.153947e+000
8.999999999999999e-001, 9.000000e-001, 2.000000e+000, 2.193070e+000
9.999999999999999e-001, 1.000000e+000, 2.000000e+000, 2.235979e+000
1.100000000000000e+000, 1.100000e+000, 2.000000e+000, 2.282463e+000
1.200000000000000e+000, 1.200000e+000, 2.000000e+000, 2.332308e+000
1.300000000000000e+000, 1.300000e+000, 2.000000e+000, 2.385304e+000
1.400000000000000e+000, 1.400000e+000, 2.000000e+000, 2.441246e+000
1.500000000000000e+000, 1.500000e+000, 2.000000e+000, 2.499938e+000
1.600000000000000e+000, 1.600000e+000, 2.000000e+000, 2.561190e+000
1.700000000000000e+000, 1.700000e+000, 2.000000e+000, 2.624822e+000
1.800000000000001e+000, 1.800000e+000, 2.000000e+000, 2.690667e+000
1.900000000000001e+000, 1.900000e+000, 2.000000e+000, 2.758566e+000
2.000000000000000e+000, 2.000000e+000, 2.000000e+000, 2.828371e+000
2.100000000000001e+000, 2.100000e+000, 2.000000e+000, 2.899944e+000
2.200000000000001e+000, 2.200000e+000, 2.000000e+000, 2.973157e+000
2.300000000000001e+000, 2.300000e+000, 2.000000e+000, 3.047894e+000
2.400000000000001e+000, 2.400000e+000, 2.000000e+000, 3.124043e+000
2.500000000000001e+000, 2.500000e+000, 2.000000e+000, 3.201505e+000
2.600000000000001e+000, 2.600000e+000, 2.000000e+000, 3.280187e+000
2.700000000000001e+000, 2.700000e+000, 2.000000e+000, 3.360002e+000
2.800000000000001e+000, 2.800000e+000, 2.000000e+000, 3.440872e+000
2.900000000000001e+000, 2.900000e+000, 2.000000e+000, 3.522724e+000
3.000000000000001e+000, 3.000000e+000, 2.000000e+000, 3.605492e+000
3.100000000000001e+000, 3.100000e+000, 2.000000e+000, 3.689113e+000
3.200000000000002e+000, 3.200000e+000, 2.000000e+000, 3.773532e+000
3.300000000000002e+000, 3.300000e+000, 2.000000e+000, 3.858695e+000
3.400000000000002e+000, 3.400000e+000, 2.000000e+000, 3.944555e+000
3.500000000000002e+000, 3.500000e+000, 2.000000e+000, 4.031066e+000
3.600000000000002e+000, 3.600000e+000, 2.000000e+000, 4.118188e+000
3.700000000000002e+000, 3.700000e+000, 2.000000e+000, 4.205884e+000
3.800000000000002e+000, 3.800000e+000, 2.000000e+000, 4.294117e+000
3.900000000000002e+000, 3.900000e+000, 2.000000e+000, 4.382855e+000
4.000000000000002e+000, 4.000000e+000, 2.000000e+000, 4.472069e+000
4.100000000000001e+000, 4.100000e+000, 2.000000e+000, 4.561730e+000
4.200000000000001e+000, 4.200000e+000, 2.000000e+000, 4.651813e+000
4.300000000000001e+000, 4.300000e+000, 2.000000e+000, 4.742293e+000
4.400000000000000e+000, 4.400000e+000, 2.000000e+000, 4.833148e+000
4.500000000000000e+000, 4.500000e+000, 2.000000e+000, 4.924358e+000
4.600000000000000e+000, 4.600000e+000, 2.000000e+000, 5.015903e+000
4.699999999999999e+000, 4.700000e+000, 2.000000e+000, 5.107765e+000
4.799999999999999e+000, 4.800000e+000, 2.000000e+000, 5.199926e+000
4.899999999999999e+000, 4.900000e+000, 2.000000e+000, 5.292373e+000
5.000000000000000e+000, 5.000000e+000, 2.000000e+000, 5.385090e+000
Step Information: V1=2.5  (Run: 6/11)
0.000000000000000e+000, 0.000000e+000, 2.500000e+000, 2.499959e+000
1.000000000000000e-001, 1.000000e-001, 2.500000e+000, 2.501957e+000
2.000000000000000e-001, 2.000000e-001, 2.500000e+000, 2.507938e+000
3.000000000000000e-001, 3.000000e-001, 2.500000e+000, 2.517864e+000
4.000000000000000e-001, 4.000000e-001, 2.500000e+000, 2.531753e+000
5.000000000000000e-001, 5.000000e-001, 2.500000e+000, 2.549240e+000
6.000000000000000e-001, 6.000000e-001, 2.500000e+000, 2.570787e+000
7.000000000000000e-001, 7.000000e-001, 2.500000e+000, 2.596019e+000
7.999999999999999e-001, 8.000000e-001, 2.500000e+000, 2.624774e+000
8.999999999999999e-001, 9.000000e-001, 2.500000e+000, 2.656973e+000
9.999999999999999e-001, 1.000000e+000, 2.500000e+000, 2.692499e+000
1.100000000000000e+000, 1.100000e+000, 2.500000e+000, 2.731223e+000
1.200000000000000e+000, 1.200000e+000, 2.500000e+000, 2.773013e+000
1.300000000000000e+000, 1.300000e+000, 2.500000e+000, 2.817732e+000
1.400000000000000e+000, 1.400000e+000, 2.500000e+000, 2.865243e+000
1.500000000000000e+000, 1.500000e+000, 2.500000e+000, 2.915412e+000
1.600000000000000e+000, 1.600000e+000, 2.500000e+000, 2.968102e+000
1.700000000000000e+000, 1.700000e+000, 2.500000e+000, 3.023181e+000
1.800000000000001e+000, 1.800000e+000, 2.500000e+000, 3.080523e+000
1.900000000000001e+000, 1.900000e+000, 2.500000e+000, 3.140003e+000
2.000000000000000e+000, 2.000000e+000, 2.500000e+000, 3.201502e+000
2.100000000000001e+000, 2.100000e+000, 2.500000e+000, 3.264905e+000
2.200000000000001e+000, 2.200000e+000, 2.500000e+000, 3.330105e+000
2.300000000000001e+000, 2.300000e+000, 2.500000e+000, 3.396997e+000
2.400000000000001e+000, 2.400000e+000, 2.500000e+000, 3.465484e+000
2.500000000000001e+000, 2.500000e+000, 2.500000e+000, 3.535473e+000
2.600000000000001e+000, 2.600000e+000, 2.500000e+000, 3.606877e+000
2.700000000000001e+000, 2.700000e+000, 2.500000e+000, 3.679612e+000
2.800000000000001e+000, 2.800000e+000, 2.500000e+000, 3.753603e+000
2.900000000000001e+000, 2.900000e+000, 2.500000e+000, 3.828775e+000
3.000000000000001e+000, 3.000000e+000, 2.500000e+000, 3.905062e+000
3.100000000000001e+000, 3.100000e+000, 2.500000e+000, 3.982398e+000
3.200000000000002e+000, 3.200000e+000, 2.500000e+000, 4.060724e+000
3.300000000000002e+000, 3.300000e+000, 2.500000e+000, 4.139983e+000
3.400000000000002e+000, 3.400000e+000, 2.500000e+000, 4.220124e+000
3.500000000000002e+000, 3.500000e+000, 2.500000e+000, 4.301096e+000
3.600000000000002e+000, 3.600000e+000, 2.500000e+000, 4.382854e+000
