v1	V(v_1)	V(v_2)	V(vout)	I(V3)
4.399999999999912e-001	2.940000e+000	2.500000e+000	2.500000e+000	2.965837e-005
4.499999999999912e-001	2.950000e+000	2.500000e+000	2.500000e+000	3.044541e-005
4.599999999999913e-001	2.960000e+000	2.500000e+000	2.500000e+000	3.123558e-005
4.699999999999913e-001	2.970000e+000	2.500000e+000	2.500000e+000	3.202878e-005
4.799999999999913e-001	2.980000e+000	2.500000e+000	2.500000e+000	3.282489e-005
4.899999999999913e-001	2.990000e+000	2.500000e+000	2.500000e+000	3.362379e-005
4.999999999999913e-001	3.000000e+000	2.500000e+000	2.500000e+000	3.442537e-005
5.099999999999912e-001	3.010000e+000	2.500000e+000	2.500000e+000	3.522952e-005
5.199999999999913e-001	3.020000e+000	2.500000e+000	2.500000e+000	3.603611e-005
5.299999999999913e-001	3.030000e+000	2.500000e+000	2.500000e+000	3.684504e-005
5.399999999999913e-001	3.040000e+000	2.500000e+000	2.500000e+000	3.765618e-005
5.499999999999913e-001	3.050000e+000	2.500000e+000	2.500000e+000	3.846942e-005
5.599999999999913e-001	3.060000e+000	2.500000e+000	2.500000e+000	3.928463e-005
5.699999999999913e-001	3.070000e+000	2.500000e+000	2.500000e+000	4.010169e-005
5.799999999999913e-001	3.080000e+000	2.500000e+000	2.500000e+000	4.092048e-005
5.899999999999913e-001	3.090000e+000	2.500000e+000	2.500000e+000	4.174088e-005
5.999999999999913e-001	3.100000e+000	2.500000e+000	2.500000e+000	4.256275e-005
