v3	V(v_1)	V(vout)	I(V3)
2.379999999999993e+000	2.500000e+000	2.380000e+000	4.247736e-007
2.389999999999993e+000	2.500000e+000	2.390000e+000	4.212378e-007
2.399999999999993e+000	2.500000e+000	2.400000e+000	4.176979e-007
2.409999999999993e+000	2.500000e+000	2.410000e+000	4.141538e-007
2.419999999999992e+000	2.500000e+000	2.420000e+000	4.106054e-007
2.429999999999992e+000	2.500000e+000	2.430000e+000	4.070527e-007
2.439999999999992e+000	2.500000e+000	2.440000e+000	4.034954e-007
2.449999999999992e+000	2.500000e+000	2.450000e+000	3.999337e-007
2.459999999999992e+000	2.500000e+000	2.460000e+000	3.963674e-007
2.469999999999991e+000	2.500000e+000	2.470000e+000	3.927964e-007
2.479999999999991e+000	2.500000e+000	2.480000e+000	3.892205e-007
2.489999999999991e+000	2.500000e+000	2.490000e+000	3.856398e-007
2.499999999999991e+000	2.500000e+000	2.500000e+000	3.820541e-007
2.509999999999991e+000	2.500000e+000	2.510000e+000	3.784634e-007
2.519999999999990e+000	2.500000e+000	2.520000e+000	3.748675e-007
2.529999999999990e+000	2.500000e+000	2.530000e+000	3.712664e-007
2.539999999999990e+000	2.500000e+000	2.540000e+000	3.676599e-007
2.549999999999990e+000	2.500000e+000	2.550000e+000	3.640480e-007
2.559999999999989e+000	2.500000e+000	2.560000e+000	3.604307e-007
2.569999999999989e+000	2.500000e+000	2.570000e+000	3.568076e-007
2.579999999999989e+000	2.500000e+000	2.580000e+000	3.531789e-007
2.589999999999989e+000	2.500000e+000	2.590000e+000	3.495444e-007
2.599999999999989e+000	2.500000e+000	2.600000e+000	3.459039e-007
2.609999999999988e+000	2.500000e+000	2.610000e+000	3.422575e-007
2.619999999999988e+000	2.500000e+000	2.620000e+000	3.386049e-007
2.629999999999988e+000	2.500000e+000	2.630000e+000	3.349461e-007
2.639999999999988e+000	2.500000e+000	2.640000e+000	3.312810e-007
2.649999999999988e+000	2.500000e+000	2.650000e+000	3.276095e-007
2.659999999999987e+000	2.500000e+000	2.660000e+000	3.239315e-007
2.669999999999987e+000	2.500000e+000	2.670000e+000	3.202468e-007
2.679999999999987e+000	2.500000e+000	2.680000e+000	3.165553e-007
2.689999999999987e+000	2.500000e+000	2.690000e+000	3.128571e-007
2.699999999999986e+000	2.500000e+000	2.700000e+000	3.091518e-007
2.709999999999986e+000	2.500000e+000	2.710000e+000	3.054395e-007
2.719999999999986e+000	2.500000e+000	2.720000e+000	3.017200e-007
2.729999999999986e+000	2.500000e+000	2.730000e+000	2.979932e-007
2.739999999999986e+000	2.500000e+000	2.740000e+000	2.942589e-007
2.749999999999985e+000	2.500000e+000	2.750000e+000	2.905172e-007
2.759999999999985e+000	2.500000e+000	2.760000e+000	2.867677e-007
2.769999999999985e+000	2.500000e+000	2.770000e+000	2.830106e-007
2.779999999999985e+000	2.500000e+000	2.780000e+000	2.792455e-007
2.789999999999985e+000	2.500000e+000	2.790000e+000	2.754724e-007
2.799999999999984e+000	2.500000e+000	2.800000e+000	2.716911e-007
2.809999999999984e+000	2.500000e+000	2.810000e+000	2.679016e-007
2.819999999999984e+000	2.500000e+000	2.820000e+000	2.641037e-007
2.829999999999984e+000	2.500000e+000	2.830000e+000	2.602972e-007
2.839999999999983e+000	2.500000e+000	2.840000e+000	2.564821e-007
2.849999999999983e+000	2.500000e+000	2.850000e+000	2.526583e-007
2.859999999999983e+000	2.500000e+000	2.860000e+000	2.488255e-007
2.869999999999983e+000	2.500000e+000	2.870000e+000	2.449837e-007
