v1	V(v_1)	V(v_2)	I(V3)
-8.019999999999998e-001	1.698000e+000	2.500000e+000	-6.192748e-005
-8.009999999999998e-001	1.699000e+000	2.500000e+000	-6.184931e-005
-7.999999999999998e-001	1.700000e+000	2.500000e+000	-6.177107e-005
-7.989999999999998e-001	1.701000e+000	2.500000e+000	-6.169275e-005
-7.979999999999998e-001	1.702000e+000	2.500000e+000	-6.161434e-005
-7.969999999999998e-001	1.703000e+000	2.500000e+000	-6.153585e-005
-7.959999999999998e-001	1.704000e+000	2.500000e+000	-6.145729e-005
-7.949999999999998e-001	1.705000e+000	2.500000e+000	-6.137864e-005
-7.939999999999998e-001	1.706000e+000	2.500000e+000	-6.129991e-005
-7.929999999999998e-001	1.707000e+000	2.500000e+000	-6.122110e-005
-7.919999999999998e-001	1.708000e+000	2.500000e+000	-6.114221e-005
-7.909999999999998e-001	1.709000e+000	2.500000e+000	-6.106324e-005
-7.899999999999998e-001	1.710000e+000	2.500000e+000	-6.098419e-005
-7.889999999999998e-001	1.711000e+000	2.500000e+000	-6.090506e-005
-7.879999999999998e-001	1.712000e+000	2.500000e+000	-6.082585e-005
-7.869999999999998e-001	1.713000e+000	2.500000e+000	-6.074656e-005
-7.859999999999998e-001	1.714000e+000	2.500000e+000	-6.066719e-005
-7.849999999999998e-001	1.715000e+000	2.500000e+000	-6.058773e-005
-7.839999999999998e-001	1.716000e+000	2.500000e+000	-6.050820e-005
-7.829999999999998e-001	1.717000e+000	2.500000e+000	-6.042859e-005
-7.819999999999998e-001	1.718000e+000	2.500000e+000	-6.034890e-005
-7.809999999999998e-001	1.719000e+000	2.500000e+000	-6.026913e-005
-7.799999999999998e-001	1.720000e+000	2.500000e+000	-6.018928e-005
-7.789999999999998e-001	1.721000e+000	2.500000e+000	-6.010934e-005
-7.779999999999998e-001	1.722000e+000	2.500000e+000	-6.002933e-005
-7.769999999999998e-001	1.723000e+000	2.500000e+000	-5.994924e-005
-7.759999999999998e-001	1.724000e+000	2.500000e+000	-5.986907e-005
-7.749999999999998e-001	1.725000e+000	2.500000e+000	-5.978881e-005
-7.739999999999998e-001	1.726000e+000	2.500000e+000	-5.970848e-005
-7.729999999999998e-001	1.727000e+000	2.500000e+000	-5.962807e-005
-7.719999999999998e-001	1.728000e+000	2.500000e+000	-5.954758e-005
-7.709999999999998e-001	1.729000e+000	2.500000e+000	-5.946701e-005
-7.699999999999998e-001	1.730000e+000	2.500000e+000	-5.938636e-005
-7.689999999999998e-001	1.731000e+000	2.500000e+000	-5.930563e-005
-7.679999999999998e-001	1.732000e+000	2.500000e+000	-5.922482e-005
-7.669999999999998e-001	1.733000e+000	2.500000e+000	-5.914393e-005
-7.659999999999998e-001	1.734000e+000	2.500000e+000	-5.906296e-005
-7.649999999999998e-001	1.735000e+000	2.500000e+000	-5.898191e-005
-7.639999999999998e-001	1.736000e+000	2.500000e+000	-5.890079e-005
-7.629999999999998e-001	1.737000e+000	2.500000e+000	-5.881958e-005
-7.619999999999998e-001	1.738000e+000	2.500000e+000	-5.873829e-005
-7.609999999999998e-001	1.739000e+000	2.500000e+000	-5.865692e-005
-7.599999999999998e-001	1.740000e+000	2.500000e+000	-5.857548e-005
-7.589999999999998e-001	1.741000e+000	2.500000e+000	-5.849395e-005
-7.579999999999998e-001	1.742000e+000	2.500000e+000	-5.841235e-005
